date,plate,park_location,service,arrival_time,start_handling_time,stop_handling_time,exit_time,qtime,htime,extime,dtime,loading,del_pick,del_size,pick_size,refrigerated,vehicle_type,vehicle_model,no_workers,side_company,side_postal,commodity_type,commodity_extra,number_stores,store_name1,store_floor1,store_number1,store_type1,opening1,no_branches1,link1,store_name2,store_floor2,store_number2,store_type2,opening2,no_branches2,link2,store_name3,store_floor3,store_number3,store_type3,opening3,no_branches3,link3,store_name4,store_floor4,store_number4,store_type4,opening4,no_branches4,link4,logo,employer,employer_type,reloads,stops,origin,origin_extra,morning_load,erp,start_work,stop_work,gas_refills,flex,flex_extra
24/06/15,GBD722E,street,GV,24/06/15 07:43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ClosedLightTrucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JETTING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GN83D,NA,GV,24/06/15 07:43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ClosedLightTrucks,MITSUBISHI-FUSO CANTER,NA,NA,NA,fresh_frozen_food,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CURRYTIMES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GR7354E,NA,GV,24/06/15 07:45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ClosedLightTrucks,NA,NA,NA,NA,prepared_food,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LIANG HE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,YJ5084B,street,GV,24/06/15 07:47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HeavyTrucks,NA,NA,NA,NA,nonperishable_food,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YEO'S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GV9761D,NA,GV,24/06/15 07:48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SmallVans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GBB7736E,NA,GV,24/06/15 07:49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ClosedLightTrucks,Toyota,NA,NA,NA,prepared_food,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BAO LUO WAN XIANG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GR2928H,NA,GV,24/06/15 07:50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SmallVans,ISUZU D-MAX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GBB9952J,NA,GV,24/06/15 07:53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LargeVans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RENTOKII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GZ3840C,LB,GV,24/06/15 07:53,24/06/15 07:54,24/06/15 08:01,24/06/15 08:01,1,7,0,8,2,1,0.5,0,NA,ClosedLightTrucks,NISSAN CABSTAR,1,AW YEOW,150052,fresh_frozen_food,VEGETABLES,NA,Kopitiam,B2,10, food_restaurants, 7am to 10pm,77,http://www.kopitiam.biz/search-results/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARKETS STORE,SUPPLIER,1,1,NA,NA,NA,NA,NA,NA,NA,NA,SAME TIME EVERYDAY BEFORE FOOD COURT OPENS
24/06/15,GBC247R,NA,GV,24/06/15 07:55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SmallVans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
