"time","2015-06-24","2015-06-25","2015-06-26","2016-01-21","2016-01-22"
2016-01-01 08:42:27,7,8,11,18,16
2016-01-01 08:42:34,7,8,10,18,16
2016-01-01 08:42:36,7,8,10,17,16
2016-01-01 08:42:50,7,8,10,17,17
2016-01-01 08:43:11,7,9,10,17,17
2016-01-01 08:43:33,7,9,10,17,18
2016-01-01 08:43:34,7,9,10,16,18
2016-01-01 08:43:49,7,9,10,17,17
2016-01-01 08:43:49,7,9,10,17,17
2016-01-01 08:43:58,7,9,10,18,17
2016-01-01 08:44:06,7,9,10,18,18
2016-01-01 08:44:53,7,9,10,17,18
2016-01-01 08:45:07,7,9,9,17,18
2016-01-01 08:45:11,8,9,9,17,18
2016-01-01 08:45:25,8,9,9,18,18
2016-01-01 08:45:49,8,9,9,18,17
2016-01-01 08:46:24,7,9,9,18,17
2016-01-01 08:46:40,7,9,9,19,17
2016-01-01 08:46:49,7,9,9,18,16
2016-01-01 08:46:49,7,9,9,18,16
2016-01-01 08:46:54,8,9,9,18,16
2016-01-01 08:47:07,8,9,9,18,15
2016-01-01 08:47:09,8,9,9,18,16
2016-01-01 08:47:18,8,9,10,18,16
2016-01-01 08:47:22,8,9,10,19,16
2016-01-01 08:47:29,8,9,11,18,16
2016-01-01 08:47:29,8,9,11,18,16
2016-01-01 08:47:35,8,9,11,18,15
2016-01-01 08:47:57,8,9,11,18,16
2016-01-01 08:48:00,8,9,11,19,16
2016-01-01 08:48:11,8,9,10,19,16
2016-01-01 08:48:24,7,9,10,19,16
2016-01-01 08:48:31,7,9,10,20,16
2016-01-01 08:48:35,7,9,10,21,16
2016-01-01 08:48:50,8,9,10,21,16
2016-01-01 08:49:24,8,8,10,21,16
2016-01-01 08:49:40,8,8,10,21,17
2016-01-01 08:49:49,8,8,10,20,17
2016-01-01 08:50:03,8,8,9,20,17
2016-01-01 08:50:04,8,8,9,21,17
2016-01-01 08:50:13,8,8,9,21,18
2016-01-01 08:50:24,8,7,9,21,18
2016-01-01 08:50:36,8,7,9,22,18
2016-01-01 08:50:59,8,7,10,22,18
2016-01-01 08:51:04,8,7,11,22,18
2016-01-01 08:51:24,7,7,11,22,18
2016-01-01 08:51:29,7,7,11,21,18
2016-01-01 08:51:30,7,7,11,21,19
2016-01-01 08:51:36,7,7,11,20,19
2016-01-01 08:52:12,7,7,10,20,19
2016-01-01 08:52:12,7,7,9,20,19
2016-01-01 08:52:12,7,7,10,20,19
2016-01-01 08:52:12,7,7,9,20,19
2016-01-01 08:52:22,7,7,9,19,19
2016-01-01 08:52:30,7,7,9,18,19
2016-01-01 08:52:33,7,7,9,19,19
2016-01-01 08:52:36,7,7,9,20,19
2016-01-01 08:52:40,7,7,10,20,19
2016-01-01 08:53:08,8,7,10,20,19
2016-01-01 08:53:17,8,7,11,20,19
2016-01-01 08:53:24,8,6,11,20,19
2016-01-01 08:53:37,8,6,11,19,19
2016-01-01 08:53:42,8,6,12,19,19
2016-01-01 08:53:57,8,6,12,18,19
2016-01-01 08:54:07,8,6,11,18,19
2016-01-01 08:54:33,8,6,10,18,19
2016-01-01 08:54:35,9,6,10,18,19
2016-01-01 08:54:39,9,6,9,18,19
2016-01-01 08:55:01,9,6,10,18,19
2016-01-01 08:55:05,9,6,9,18,19
2016-01-01 08:55:31,9,6,9,19,19
2016-01-01 08:55:51,9,6,8,19,19
2016-01-01 08:56:03,9,6,8,19,18
2016-01-01 08:56:07,9,6,8,20,18
2016-01-01 08:56:08,9,6,8,21,18
2016-01-01 08:56:21,9,6,8,21,19
2016-01-01 08:56:28,9,6,8,21,20
2016-01-01 08:56:32,9,6,8,22,20
2016-01-01 08:56:37,9,6,8,21,20
2016-01-01 08:56:38,9,6,8,21,21
2016-01-01 08:56:40,9,6,8,21,20
2016-01-01 08:57:32,9,6,8,21,19
2016-01-01 08:57:35,9,6,8,21,20
2016-01-01 08:57:53,9,6,8,22,20
2016-01-01 08:58:21,9,6,8,22,19
2016-01-01 08:58:24,8,6,8,22,19
2016-01-01 08:58:28,8,6,8,21,19
2016-01-01 08:58:33,8,6,7,21,19
2016-01-01 08:58:43,8,6,7,22,19
2016-01-01 08:58:45,8,7,7,22,19
2016-01-01 08:58:56,8,7,7,23,19
2016-01-01 08:59:02,8,7,7,22,19
2016-01-01 08:59:05,8,7,7,23,19
2016-01-01 08:59:07,8,7,8,23,19
2016-01-01 08:59:08,8,7,8,24,19
2016-01-01 08:59:10,8,7,8,24,20
2016-01-01 08:59:42,8,7,8,25,20
2016-01-01 08:59:53,8,7,8,25,21
2016-01-01 08:59:59,8,7,8,24,21
2016-01-01 09:00:00,8,7,8,24,20
2016-01-01 09:00:23,8,7,8,23,20
2016-01-01 09:00:24,8,6,8,23,20
2016-01-01 09:00:32,8,6,8,22,20
2016-01-01 09:00:39,8,6,9,22,20
2016-01-01 09:00:40,8,6,9,22,19
2016-01-01 09:00:42,8,6,10,22,19
2016-01-01 09:00:46,8,6,10,23,19
2016-01-01 09:00:48,8,6,10,24,19
2016-01-01 09:00:49,8,6,10,24,20
2016-01-01 09:00:58,8,6,11,24,20
2016-01-01 09:01:09,8,7,11,24,20
2016-01-01 09:01:17,8,8,11,24,20
2016-01-01 09:01:33,8,8,11,25,20
2016-01-01 09:01:41,8,8,10,25,20
2016-01-01 09:01:42,8,8,10,26,20
2016-01-01 09:01:57,8,8,9,26,20
2016-01-01 09:02:24,7,8,9,25,20
2016-01-01 09:02:24,7,8,9,25,20
2016-01-01 09:02:29,7,9,9,25,20
2016-01-01 09:02:32,7,9,9,26,20
2016-01-01 09:02:41,7,8,9,26,20
2016-01-01 09:02:45,7,8,9,26,19
2016-01-01 09:02:52,7,8,9,26,20
2016-01-01 09:02:58,7,8,9,27,20
2016-01-01 09:03:28,7,8,9,28,20
2016-01-01 09:03:30,7,8,9,28,21
2016-01-01 09:03:46,7,8,9,29,21
2016-01-01 09:03:47,7,8,9,28,21
