"district","name","open_close","type","address","floor_area","no_stores_mallwebsite","store_directory","no_stores_streetdirectory","streetdirectory","notes","lon","lat"
"North East","Upper Serangoon Shopping Centre","open","mall","756 Upper Serangoon Rd, Singapore 534626",NA,NA,NA,14,"http://www.streetdirectory.com/sg/upper-serangoon-shopping-centre/756-upper-serangoon-road-534626/9551_85294.html",NA,103.8788469,1.353469
"North East","Waterway Point","open","mall","83 Punggol Central, Singapore 828761",34451,194,"http://waterwaypoint.fraserscentrepointmalls.com/store.php?CategoryID=594",181,"http://www.streetdirectory.com/sg/waterway-point-shopping-centre/83-punggol-central-828761/105012_402571.html",NA,103.9020717,1.4052945
"North West","Beauty World Plaza","open","mall","140 Upper Bukit Timah Rd, Singapore 588176",NA,NA,NA,130,"http://www.streetdirectory.com/sg/beauty-world-plaza/140-upper-bukit-timah-road-588176/672_107044.html",NA,103.7759908,1.3415369
"North West","Bukit Panjang Plaza","open","mall","1 Jelebu Road, Singapore 677743",NA,140,"http://www.bukitpanjangplaza.com.sg/en/store-locator-list/",124,"http://www.streetdirectory.com/sg/bukit-panjang-plaza/1-jelebu-road-677743/11622_119099.html",NA,103.7641529,1.379962
"North West","Bukit Timah Plaza","open","mall","1 Jln Anak Bukit, Singapore 588996",NA,127,"http://www.bukittimahplaza.net/directory/",212,"http://www.streetdirectory.com/sg/bukit-timah-plaza/1-jalan-anak-bukit-588996/1071_107523.html",NA,103.778668,1.3389092
"North West","Fajar Shopping Centre","open","mall","445 Fajar Rd, Singapore 670445",NA,NA,NA,35,"http://www.streetdirectory.com/sg/fajar-shopping-centre/445-fajar-road-670445/12639_118924.html",NA,103.770558,1.383802
"North West","Greenridge Shopping Centre","open","mall","524A Jelapang Rd, Singapore 671524",NA,47,"http://www.shopgreenridge.com/directory/by-cat/",35,"http://www.streetdirectory.com/sg/greenridge-shopping-centre/524a-jelapang-road-671524/3275_119074.html",NA,103.76636,1.384827
"North West","Hillion Mall","closed","mall",NA,NA,NA,NA,NA,NA,"NEW",NA,NA
"North West","HillV2","open","mall","4 Hillview Rise, Singapore 667979",NA,27,"http://www.hillv2.com.sg/index.aspx?key=storeguide-listing",2,"http://www.streetdirectory.com/sg/the-hillier-hillv2/4-hillview-rise-667979/57062_400808.html",NA,103.7643979,1.3633667
"North West","Junction 10","open","mall","1 Woodlands Rd, Singapore 677899",8361,33,"http://www.junction10.com.sg/index.aspx?key=directory-by-category",36,"http://www.streetdirectory.com/sg/junction-10/1-woodlands-road-677899/9053_119225.html",NA,103.760383,1.37978
"North West","Limbang Shopping Centre","open","mall","533 Choa Chu Kang Street 51, Singapore 680534",NA,43,"http://www.where2shop.sg/fi10/fi10334p.nsf/w/ShopperLimbangSCFloorPlan?OpenDocument",24,"http://www.streetdirectory.com/sg/limbang-shopping-centre/534-choa-chu-kang-street-51-680534/5123_120677.html",NA,103.743131,1.392015
"North West","Lot One","open","mall","21 Choa Chu Kang Ave 4, Singapore 689812",28012,159,"http://www.lotone.com.sg/en/store-locator-list/",118,"http://www.streetdirectory.com/asiatravel/singaporemap/business/216379/421932/",NA,103.745088,1.3851464
"North West","Rail Mall","open","mall","380 Upper Bukit Timah Rd, Singapore 678040",NA,27,"http://www.railmall.com.sg/shop/",23,"http://www.streetdirectory.com/sg/the-rail-mall/386-upper-bukit-timah-road-678043/7152_119373.html",NA,103.7681855,1.3577623
